gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
MIN201309260,CLE,0,0,0,3,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,9,frant001,value,42,37,6,11,2,0,1,5,1,0,0,4,0,5,0,0,1,0,2,27,0,44,13,1,1,1,5,4,5,0,9,1,0,0,0,0,0,0,1,27,9,0,2,0,1,0,0,0,branm003,swisn001,kipnj001,santc002,rabur001,cabra002,gomey001,avilm001,stubd001,mcalz001,gomey001,swisn001,kipnj001,avilm001,cabra002,branm003,stubd001,rabur001,santc002,20130926,0,MIN04,v,MIN,1,0,0,regular,y,y
MIN201309260,MIN,0,0,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,12,gardr001,value,44,38,5,13,1,1,1,5,0,0,1,5,0,9,0,0,2,0,0,27,0,42,11,2,0,1,6,5,4,0,5,0,1,1,1,0,0,0,0,27,14,2,2,0,0,1,0,0,presa001,dozib001,doumr001,willj004,pintj001,plout001,colac001,mastd002,escoe001,albea001,pintj001,colac001,dozib001,plout001,escoe001,mastd002,presa001,doumr001,willj004,20130926,0,MIN04,h,CLE,0,1,0,regular,y,y
NYA201309260,TBA,0,0,0,1,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,6,maddj801,value,37,34,4,11,1,0,1,4,0,0,1,2,0,7,0,1,3,0,0,27,0,30,3,1,0,0,0,0,2,0,7,0,0,0,0,0,2,0,0,27,10,0,2,0,0,0,2,0,zobrb001,myerw001,lonej001,longe001,dejed001,yound003,joycm001,lobaj001,rodrs002,cobba001,lobaj001,lonej001,rodrs002,longe001,zobrb001,joycm001,dejed001,myerw001,yound003,20130926,0,NYC21,v,NYA,1,0,0,regular,y,y
NYA201309260,NYA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,giraj001,value,30,28,0,3,1,0,0,0,0,0,0,2,0,7,2,0,2,0,0,27,0,37,11,1,0,1,4,4,2,0,7,1,0,0,0,0,0,1,0,27,14,0,3,0,0,0,0,1,suzui001,nunee002,canor001,soria001,granc001,overl001,almoz001,ryanb002,murpj001,novai001,murpj001,overl001,canor001,nunee002,ryanb002,almoz001,granc001,suzui001,soria001,20130926,0,NYC21,h,TBA,0,1,0,regular,y,y
NYN201309260,MIL,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,roenr001,value,37,32,4,7,1,0,0,4,1,0,1,3,0,3,1,0,0,0,0,27,0,40,8,2,0,1,2,2,5,0,8,2,1,1,0,0,2,0,0,27,12,1,2,0,0,1,2,0,aokin001,genns001,lucrj001,davik003,gindc001,betay001,franj005,bianj001,hellj002,hellj002,lucrj001,franj005,genns001,betay001,bianj001,davik003,aokin001,gindc001,,20130926,0,NYC20,v,NYN,1,0,0,regular,y,y
NYN201309260,NYN,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,11,collt801,value,40,33,2,8,2,0,1,2,0,0,2,5,0,8,2,0,2,0,0,27,0,37,7,1,0,0,4,4,3,0,3,1,0,0,1,0,1,0,0,27,10,0,0,0,0,0,1,0,youne003,murpd006,wrigd002,dudal001,baxtm001,dendm001,darnt001,quino001,gee-d001,gee-d001,darnt001,dudal001,murpd006,wrigd002,quino001,youne003,dendm001,baxtm001,,20130926,0,NYC20,h,MIL,0,1,0,regular,y,y
SDN201309260,ARI,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,2,gibsk001,value,37,36,2,3,0,1,1,2,0,0,0,1,0,12,0,0,0,0,0,30,4,44,8,2,1,0,3,3,6,1,10,1,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,polla001,bloow001,goldp001,pradm001,davim005,parrg001,owinc001,goset001,cahit001,cahit001,goset001,goldp001,pradm001,davim005,owinc001,bloow001,polla001,parrg001,,20130926,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201309260,SDN,0,0,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,11,blacb001,value,44,37,3,8,2,1,0,3,0,0,1,6,1,10,0,0,0,0,0,33,0,37,3,0,1,1,2,2,1,0,12,0,1,0,0,0,0,0,0,33,12,0,0,0,0,1,0,0,venaw001,denoc001,gyorj001,headc001,medit001,kotsm001,hundn001,amara001,erlir001,erlir001,hundn001,medit001,gyorj001,headc001,amara001,kotsm001,venaw001,denoc001,,20130926,0,SAN02,h,ARI,1,0,0,regular,y,y
SFN201309260,LAN,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,mattd001,value,36,31,2,8,3,1,0,2,1,1,1,2,1,6,0,0,1,0,0,24,0,33,6,2,0,1,3,3,5,0,7,0,1,0,1,0,1,0,0,24,10,0,1,0,0,1,1,0,puigy001,crawc002,ramih003,gonza003,kempm001,uribj002,ellim001,fedet001,volqe001,volqe001,fedet001,gonza003,ellim001,uribj002,ramih003,crawc002,kempm001,puigy001,,20130926,0,SFO03,v,SFN,0,1,0,regular,y,y
SFN201309260,SFN,0,0,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,6,bochb002,value,33,27,3,6,2,0,1,3,1,0,0,5,0,7,1,0,1,0,0,27,0,36,8,3,1,0,2,2,2,1,6,1,0,0,1,1,0,0,0,27,14,0,1,0,0,0,0,0,pagaa001,blang001,beltb001,poseb001,pench001,abret001,crawb001,noonn001,linct001,linct001,poseb001,beltb001,abret001,noonn001,crawb001,blang001,pagaa001,pench001,,20130926,0,SFO03,h,LAN,1,0,0,regular,y,y
TEX201309260,ANA,1,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,11,sciom001,value,43,40,5,13,0,1,0,3,0,0,0,3,1,5,0,0,1,0,2,24,1,35,12,1,0,1,6,6,1,0,6,0,0,0,1,1,1,0,0,24,9,1,3,0,0,0,1,0,shucj001,aybae001,troum001,hamij003,kendh001,calhk001,trumm001,iannc001,romia001,willj003,iannc001,trumm001,kendh001,romia001,aybae001,shucj001,troum001,calhk001,hamij003,20130926,0,ARL02,v,TEX,0,1,0,regular,y,y
